Title,DOI,Abstract,URLs,Authors,Item type,Journal,Full journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference,Conference location,Conference date,Date published,Date accessed,ISBN,ISBN (alt.),ISSN,ISSN (alt.),Keywords,Copyright,Affiliation,Language,Series
Creating environmental awareness in service oriented software engineering,10.1007/978-3-642-19394-1_19,"Carbon emission of IT is an issue. ICT energy consumption is expected to grow by 73% (instead of the originally targeted 26%) until 2020, and the service sector alone counts for 70% of the European economy. Energy consumption is a combination of what we use, and how we use it. Most green initiatives look at what types of devices do consume energy, and try to optimize their up-time as such. Few initiatives, though, measure how do software systems actually use these devices, with the goal of optimizing consumption of devices and computing resources. Basic research is needed to address this software optimization problem. The proposed approach is to make visible the environmental impact of software services by measuring it. In this way, we will become aware of the amount of energy needed by our software, and hence learn how to target software optimization where it is mostly needed. As a first step in this direction, in this paper we define three main problem areas to realize green service-based applications, and propose a service-oriented approach to address them. Thanks to that we can bring clarity in what entails managing and developing green software according to environmental strategies",http://dx.doi.org/10.1007/978-3-642-19394-1_19,"Lago P,Jansen T",Book Chapter,,,2011,,,181-186,Springer Berlin Heidelberg,"Berlin, Heidelberg",Service-Oriented Computing,,,,,2011,,9.78364E+12,9.78364E+12,0302-9743,1611-3349,,,,,Lecture Notes in Computer Science
Data-oriented characterization of application-level energy optimization,10.1007/978-3-662-46675-9_21,"Empowering application programmers to make energy-aware decisions is a critical dimension of energy optimization for computer systems. In this paper, we study the energy impact of alternative data management choices by programmers, such as data access patterns, data precision choices, and data organization. Second, we attempt to build a bridge between application-level energy management and hardware-level energy management, by elucidating how various application-level data management features respond to Dynamic Voltage and Frequency Scaling (DVFS). Finally, we apply our findings to real-world applications, demonstrating their potential for guiding application-level energy optimization. The empirical study is particularly relevant in the Big Data era, where data-intensive applications are large energy consumers, and their energy efficiency is strongly correlated to how data are maintained and handled in programs.",http://dx.doi.org/10.1007/978-3-662-46675-9_21,"Liu K,Pinto G,Liu YD",Book Chapter,,,2015,,,316-331,Springer Berlin Heidelberg,"Berlin, Heidelberg",Fundamental Approaches to Software Engineering,,,,,2015,,9.78366E+12,9.78366E+12,0302-9743,1611-3349,,,,,Lecture Notes in Computer Science
"Definition, implementation and validation of energy code smells: an exploratory study on an embedded system",,"Optimizing software in terms of energy efficiency is one of the challenges that both research and industry will have to face in the next few years.We consider energy efficiency as a software product quality characteristic, to be improved through the refactoring of appropriate code pattern: the aim of this work is identifying those code patterns, hereby defined as Energy Code Smells, that might increase the impact of software over power consumption. For our purposes, we perform an experiment consisting in the execution of several code patterns on an embedded system. These code patterns are executed in two versions: the first one contains a code issue that could negatively impact power consumption, the other one is refactored removing the issue. We measure the power consumption of the embedded device during the execution of each code pattern. We also track the execution time to investigate whether Energy Code Smells are also Performance Smells. Our results show that some Energy Code Smells actually have an impact over power consumption in the magnitude order of micro Watts. Moreover, those Smells did not introduce a performance decrease.",https://www.researchgate.net/publication/236593463_Definition_implementation_and_validation_of_energy_code_smells_an_exploratory_study_on_an_embedded_system,"Vetro A, Ardito L, Procaccianti G and Morisio M",Conference Paper,"ENERGY 2013 : The Third International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies",,2013,,,,,,,,,,,13-Mar,3/23/26,,,,,,,,,
Development and evaluation of a reference measurement model for assessing the resource and energy efficiency of software products and components‚ÄîGreen Software Measurement Model (GSMM),10.1016/j.future.2024.01.033,"In the past decade, research on measuring and assessing the environmental impact of software has gained significant momentum in science and industry. However, due to the large number of research groups, measurement setups, procedure models, tools, and general novelty of the research area, a comprehensive research framework has yet to be created. The literature documents several approaches from researchers and practitioners who have developed individual methods and models, along with more general ideas like the integration of software sustainability in the context of the UN Sustainable Development Goals, or science communication approaches to make the resource cost of software transparent to society. However, a reference measurement model for the energy and resource consumption of software is still missing. In this article, we jointly develop the Green Software Measurement Model (GSMM), in which we bring together the core ideas of the measurement models, setups, and methods of over 10 research groups in four countries who have done pioneering work in assessing the environmental impact of software. We briefly describe the different methods and models used by these research groups, derive the components of the GSMM from them, and then we discuss and evaluate the resulting reference model. By categorizing the existing measurement models and procedures and by providing guidelines for assimilating and tailoring existing methods, we expect this work to aid new researchers and practitioners who want to conduct measurements for their individual use cases.",http://dx.doi.org/10.1016/j.future.2024.01.033,"Guldner A, Bender R, Calero C, Fernando GS, Funke M, Gröger J, Hilty LM, Hörnschemeyer J, Hoffmann GD, Junger D, Kennes T, Kreten S, Lago P, Mai F, Malavolta I, Murach J, Obergöker K, Schmidt B, Tarara A, De Veaugh-Geiss JP, Weber S, Westing M, Wohlgemuth V, Naumann S",Journal Article,Future Gener. Comput. Syst.,Future Generations Computer Systems,2024,155,,402-418,Elsevier BV,,,,,,,2024-06,,,,0167-739X,1872-7115,,http://creativecommons.org/licenses/by/4.0/,,en,
Do energy-oriented changes hinder maintainability?,10.1109/icsme.2019.00013,"Energy efficiency is a crucial quality requirement for mobile applications. However, improving energy efficiency is far from trivial as developers lack the knowledge and tools to aid in this activity. In this paper we study the impact of changes to improve energy efficiency on the maintainability of Android applications. Using a dataset containing 539 energy efficiency-oriented commits, we measure maintainability – as computed by the Software Improvement Group's web-based source code analysis service Better Code Hub (BCH) – before and after energy efficiency-related code changes. Results show that in general improving energy efficiency comes with a significant decrease in maintainability. This is particularly evident in code changes to accommodate the Power Save Mode and Wakelock Addition energy patterns. In addition, we perform manual analysis to assess how real examples of energy-oriented changes affect maintainability. Our results help mobile app developers to 1) avoid common maintainability issues when improving the energy efficiency of their apps; and 2) adopt development processes to build maintainable and energy-efficient code. We also support researchers by identifying challenges in mobile app development that still need to be addressed.",http://dx.doi.org/10.1109/icsme.2019.00013,"Cruz L,Abreu R,Grundy J,Li L,Xia X",Conference Paper,,,2019,,,,IEEE,,,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),"Cleveland, OH, USA",2019/9/29-2019/10/4,2019-09,,9.78173E+12,,,,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
Does maintainability relate to the energy consumption of software? A case study,10.1007/s11219-020-09536-9,"Energy consumption of software has been becoming increasingly significant, since it can vary according to how the software has been developed. In recent years, developers and researchers have been interested in analyzing, among other things, how energy consumption evolves when changes occur from one version to another in any given software. Thus far, the only studies available are theoretical papers that reinforce the idea that maintainability may have an influence on energy use, but this needs to be proven empirically, which is the goal of this article. This work presents an empirical study carried out to test whether there is a relationship between the energy consumption and the maintainability of several versions of Redmine. Maintainability has been assessed by means of different measures, such as the number of lines of code, or the complexity of the software, calculated using SonarCloud, and the energy consumption measurements have been captured using the EET device. The results obtained show that the number of lines of code affects both the energy consumption of the processor and the total consumption of the computer where the software is run. It is intended that the results from this work should serve as a basis for the undertaking of new empirical studies which will enable the relationship between the software maintainability and the energy efficiency of that software to be better understood.",http://dx.doi.org/10.1007/s11219-020-09536-9,"Mancebo J,Calero C,Garcia F",Journal Article,Softw. Qual. J.,Software Quality Journal,2021,29,1,101-127,Springer Science and Business Media LLC,,,,,,,2021-03,,,,0963-9314,1573-1367,,,,en,
Early analysis of resource consumption patterns in mobile applications,10.1016/j.pmcj.2016.06.011,"Mobile device capabilities have increased tremendously in recent years, and the complexity of the applications executed in these devices has evolved accordingly. However, despite the efforts made by mobile manufactures, resource consumption, particularly battery and data traffic, are still limiting factors for mobile applications. The most important aspects determining the consumption of a mobile application is its software architecture and its behaviour. Hence, by comparing the resource consumption of different software architectures before an application is built, mobile developers can make decisions that are better informed. This work presents the consumption analysis of two applications, each of them built with two different architectures in order to identify under which situation each architecture is more efficient. In addition, by generalizing the analysis of the two applications, a conceptual framework is created with which to analyse the consumption pattern of applications in their early development phases. This conceptual framework will allow mobile developers to estimate the resource consumption of their applications under different conditions of software architecture and usage scenarios, providing them with information relevant for decision making.",http://dx.doi.org/10.1016/j.pmcj.2016.06.011,"Berrocal J,Garcia-Alonso J,Vicente-Chicote C,Hernandez J,Mikkonen T,Canal C,Murillo JM",Journal Article,Pervasive Mob. Comput.,Pervasive and Mobile Computing,2017,35,,32-50,Elsevier BV,,,,,,,2017-02,,,,1574-1192,1873-1589,,,,en,
EARMO: An energy-aware refactoring approach for mobile apps,10.1109/tse.2017.2757486,"The energy consumption of mobile apps is a trending topic and researchers are actively investigating the role of coding practices on energy consumption. Recent studies suggest that design choices can conflict with energy consumption. Therefore, it is important to take into account energy consumption when evolving the design of a mobile app. In this paper, we analyze the impact of eight type of anti-patterns on a testbed of 20 android apps extracted from F-Droid. We propose EARMO, a novel anti-pattern correction approach that accounts for energy consumption when refactoring mobile anti-patterns. We evaluate EARMO using three multiobjective search-based algorithms. The obtained results show that EARMO can generate refactoring recommendations in less than a minute, and remove a median of 84 percent of anti-patterns. Moreover, EARMO extended the battery life of a mobile phone by up to 29 minutes when running in isolation a refactored multimedia app with default settings (no Wi-Fi, no location services, and minimum screen brightness). Finally, we conducted a qualitative study with developers of our studied apps, to assess the refactoring recommendations made by EARMO. Developers found 68 percent of refactorings suggested by EARMO to be very relevant.",http://dx.doi.org/10.1109/tse.2017.2757486,"Morales R,Saborido R,Khomh F,Chicano F,Antoniol G",Journal Article,IEEE Trans. Softw. Eng.,IEEE Transactions on Software Engineering,2018,44,12,1176-1206,Institute of Electrical and Electronics Engineers (IEEE),,,,,,,12/1/18,,,,0098-5589,1939-3520,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
Empirical evaluation of the energy impact of refactoring code smells,10.29007/dz83,"Software energy efficiency has gained increasing attention of the research community. How to improve it, however, still lacks evidence. Specifically, the impact of code smell refactoring on energy efficiency has been scarcely investigated. In the pilot study here reported, we investigate the impact on performance and energy consumption of refactoring well-known code smells on Java software applications. In order to understand if software metrics can be used as indicators of the energy impact of refactoring, we also measured the variation caused by refactoring on a set of well-established software metrics. We conducted a controlled experiment using state-of-the-art power measurement equipment. Statistical hypothesis testing and effect size estimation were performed on the experimental results. Results show that in one out of three applications, refactoring each smell significantly impacted power- and energy consumption. Specifically, refactoring Feature Envy and Long Method smells led to a 49% energy efficiency improvement. No software metrics significantly correlated with execution time, power or energy consumption. In conclusion, refactoring code smells can significantly improve software energy efficiency. The magnitude of the impact may depend on application properties, e.g. size or age. Further research is needed to understand the relationship between software metrics and energy efficiency.",http://dx.doi.org/10.29007/dz83,"Verdecchia R,Aparicio Saez R,Procaccianti G,Lago P",Conference Paper,,,2018,,,,EasyChair,,,,ICT4S2018. 5th International Conference on Information and Communication Technology for Sustainability,,,2018,,,,,,,,,,
Energy consumption analysis of design patterns,,"The importance of low power consumption is widelyacknowledged due to the increasing use of portable devices, whichrequire minimizing the consumption of energy. Energy dissipation isheavily dependent on the software used in the system. Applyingdesign patterns in object-oriented designs is a common practicenowadays. In this paper we analyze six design patterns and explorethe effect of them on energy consumption and performance ",https://www.researchgate.net/publication/27378122_Energy_Consumption_Analysis_of_Design_Patterns,"Litke A, Zotos K, Chatzigeorgiou A and Stephanides G",Conference Paper,"PROCEEDINGS OF WORLD ACADEMY OF SCIENCE, ENGINEERING AND TECHNOLOGY",,2005,6,,,,,,,,,,,3/23/26,,,,,,,,,
"Energy efficiency across programming languages: how do energy, time, and memory relate?",10.1145/3136014.3136031,"This paper presents a study of the runtime, memory usage and energy consumption of twenty seven well-known software languages. We monitor the performance of such languages using ten different programming problems, expressed in each of the languages. Our results show interesting findings, such as, slower/faster languages consuming less/more energy, and how memory usage influences energy consumption. Finally, we show how to use our results to provide software engineers support to decide which language to use when energy efficiency is a concern.",http://dx.doi.org/10.1145/3136014.3136031,"Pereira R,Couto M,Ribeiro F,Rua R,Cunha J,Fernandes JP,Saraiva J",Conference Paper,,,2017,,,256-267,ACM,"New York, NY, USA",,Proceedings of the 10th ACM SIGPLAN International Conference on Software Language Engineering,"SPLASH '17: Conference on Systems, Programming, Languages, and Applications: Software for Humanity",Vancouver BC Canada,2017/10/23-2017/10/24,10/23/17,,9.78145E+12,,,,,https://www.acm.org/publications/policies/copyright_policy#Background,"INESC TEC, Portugal / University of Minho, Portugal; NOVA-LINCS, Portugal / Nova University of Lisbon, Portugal; LISP, Portugal / CISUC, Portugal / University of Coimbra, Portugal",,
Energy efficiency analysis of code refactoring techniques for green and sustainable software in portable devices,10.3390/electronics11030442,"Code refactoring is a time-consuming and effort-intensive process that is applied for making improvements to source codes. There exist several refactoring techniques to improve software quality. Some of them aim to reduce the energy consumption of the software. However, the combination of applied refactoring techniques is crucial to the success rate. In addition, to provide sustainable services on portable devices such as mobile phones and laptops, which rely on batteries, improving and optimizing the energy efficiency is important. This study focuses on examining the effect of code refactoring techniques on energy consumption. A total of 25 different source codes of applications programmed in the C# and Java languages are selected for the study, and combinations obtained from refactoring techniques are applied to these source codes. The combinations applied are analyzed using the maintainability index. Power consumption estimation tools are used to measure the energy consumption of the original and refactored codes. The results show that the combinations significantly improve the software‚Äôs energy efficiency. The results will provide a better understanding of the relationship between the energy efficiency of software and refactoring techniques. Moreover, they will help developers to improve their object-oriented code in terms of both energy efficiency and sustainability.",http://dx.doi.org/10.3390/electronics11030442,"Sanlialp I, Öztürk M, Yigit T",Journal Article,Electronics (Basel),Electronics,2022,11,3,442,MDPI AG,,,,,,,2/1/22,,,,2079-9292,,,https://creativecommons.org/licenses/by/4.0/,"Graduate School of Natural and Applied Sciences, Suleyman Demirel University, Isparta 32260, Turkey; Department of Computer Engineering, Faculty of Engineering, Suleyman Demirel University, Isparta 32260, Turkey",en,
Energy efficiency embedded service lifecycle: Towards an energy efficient cloud computing architecture,,"The paper argues the need to provide novel methods and tools to support software developers aiming to optimise energy efficiency and minimise the carbon footprint resulting from designing, developing, deploying and running software in Clouds, while maintaining other quality aspects of software to adequate and agreed levels. A cloud architecture to support energy efficiency at service construction, deployment, and operation is discussed, as well as its implementation and evaluation plans.",https://upcommons.upc.edu/entities/publication/f272483e-2d4b-4cc1-ae67-4e2563ff3988;https://hdl.handle.net/2117/24436;https://upcommons.upc.edu/bitstreams/432784f9-15e8-4cd0-9c4f-ef6e645acd80/download,"Djemame K, Armstrong D, Kavanagh R,  Juan A, Perez D, Antona D, Deprez J-C, Ponsard C, Ortiz D, Macías M, Guitart J, Lordan F, Ejarque J, Sirvent R, Badia R, Kammer M, Kao O, Agiatzidou E, Dimakis A, Courcoubetis C, Blasi L",Conference Paper,,,2014,,,6-Jan,CEUR-WS.org,,,Joint Workshop Proceedings of the 2nd International Conference on ICT for Sustainability 2014,,,,2014,3/23/26,,,1613-0073,,,,,en,
Energy efficient coding practices for sustainable software development,10.4108/eai.17-11-2023.2342635,"Cloud computing has revolutionized the IT landscape, offering unparalleled scalability and flexibility to both businesses and end-users. But there's growing concern about how much electricity cloud data centers consume. The increasing need for cloud services has made it imperative to conduct research on maximizing energy efficiency in cloud computing. This research study compares two different applications to examine energy-efficient coding methods in cloud computing and provides an overview of current green data center architecture aspects. The goal of this effort is to pinpoint procedures that can drastically lower energy usage in cloud environments. The two main steps in the suggested methodology are as follows. Initially, the energy usage is evaluated for two distinct programs that are operating in a cloud environment. First, the energy consumption is assessed for two different applications running in a cloud environment: Application-A coded in JavaScript, which utilizes conventional coding practices, and Application-B coded in Java, which integrates advanced energy-efficient coding techniques. Both applications are subjected to a series of experiments to measure power consumption and performance metrics, to quantify the energy savings achieved by Application-B which employs energy efficient coding practices. Second, coding practices employed in each application are explored to identify key differences that contribute to their varying energy efficiency.",http://dx.doi.org/10.4108/eai.17-11-2023.2342635,"Manimegalai R,Sandhanam S,Nandhini A,Pandia P",Conference Paper,,,2024,,,,EAI,,,"Proceedings of the First International Conference on Science, Engineering and Technology Practices for Sustainable Development, ICSETPSD 2023, 17th-18th November 2023, Coimbatore, Tamilnadu, India","Proceedings of the First International Conference on Science, Engineering and Technology Practices for Sustainable Development, ICSETPSD 2023, 17th-18th November 2023, Coimbatore, Tamilnadu, India","Coimbatore, India",2023/11/17-2023/11/18,2024,,,,,,,,,,
Energy profiles of Java collections classes,10.1145/2884781.2884869,"We created detailed profiles of the energy consumed by common operations done on Java List, Map, and Set abstractions. The results show that the alternative data types for these abstractions differ significantly in terms of energy consumption depending on the operations. For example, an ArrayList consumes less energy than a LinkedList if items are inserted at the middle or at the end, but consumes more energy than a LinkedList if items are inserted at the start of the list. To explain the results, we explored the memory usage and the bytecode executed during an operation. Expensive computation tasks in the analyzed bytecode traces appeared to have an energy impact, but memory usage did not contribute. We evaluated our profiles by using them to selectively replace Collections types used in six applications and libraries. We found that choosing the wrong Collections type, as indicated by our profiles, can cost even 300% more energy than the most efficient choice. Our work shows that the usage context of a data structure and our measured energy profiles can be used to decide between alternative Collections implementations.",http://dx.doi.org/10.1145/2884781.2884869,"Hasan S,King Z,Hafiz M,Sayagh M,Adams B,Hindle A",Conference Paper,,,2016,,,225-236,ACM,"New York, NY, USA",,Proceedings of the 38th International Conference on Software Engineering,ICSE '16: 38th International Conference on Software Engineering,Austin Texas,2016/5/14-2016/5/22,5/14/16,,9.78145E+12,,,,,http://www.acm.org/publications/policies/copyright_policy#Background,"Auburn University; MCIS, Polytechnique Montreal; University of Alberta",,
Energy refactorings for android in the large and in the wild,10.1109/saner48275.2020.9054858,"Improving the energy efficiency of mobile applications is a timely goal, as it can contribute to increase a device's usage time, which most often is powered by batteries. Recent studies have provided empirical evidence that refactoring energy-greedy code patterns can in fact reduce the energy consumed by an application. These studies, however, tested the impact of refactoring patterns individually, often locally (e.g., by measuring method-level gains) and using a small set of applications. We studied the application-level impact of refactorings, comparing individual refactorings, among themselves and against the combinations on which they appear. We use scenarios that simulate realistic application usage on a large-scale repository of Android applications. To fully automate the detection and refactoring procedure, as well as the execution of test cases, we developed a publicly available tool called Chimera. Our findings include statistical evidence that i) individual refactorings produce consistent gains, but with different impacts, ii) combining as much refactorings as possible most often, but not always, increases energy savings when compared to individual refactorings, and iii) a few combinations are harmful to energy savings, as they can actually produce more losses than gains. We prepared a set of guidelines for developers to follow, aiding them on deciding how to refactor and consistently reduce energy.",http://dx.doi.org/10.1109/saner48275.2020.9054858,"Couto M,Saraiva J,Fernandes JP",Conference Paper,,,2020,,,,IEEE,,,"2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)","2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)","London, ON, Canada",2020/2/18-2020/2/21,2020-02,,9.78173E+12,,,,,https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html,,,
Energy-aware programming model for distributed infrastructures,10.1109/pdp.2016.39,"Day after day, cloud technologies are more and more adopted by very diverse types of stakeholders, and this success creates a side-effect problem: the energy spent by this kind of infrastructures is growing bigger every day. With the objective of reducing energy consumption when programming applications for cloud infrastructures, we have implemented energy-aware mechanisms in the COMPSs Programming Model, inside the context of the ASCETiC Project. In this paper, we demonstrate that application-level scheduling can have a big impact on the energy consumed by an application when executed in a heterogeneous cloud. We have implemented an energy-aware scheduling mechanism in COMPSs, together with a versioning technique, and we have run experiments with a use case coming from the real estate sector that proves our hypotheses.",http://dx.doi.org/10.1109/pdp.2016.39,"Lordan F,Ejarque J,Sirvent R,Badia RM",Conference Paper,,,2016,,,,IEEE,,,"2016 24th Euromicro International Conference on Parallel, Distributed, and Network-Based Processing (PDP)","2016 24th Euromicro International Conference on Parallel, Distributed, and Network-Based Processing (PDP)",Heraklion,2016/2/17-2016/2/19,2016-02,,9.78147E+12,,,,,,,,
Energy-Efficient Software,10.6092/polito/porto/2609157,"The energy consumption of ICT is growing at an unprecedented pace. The main drivers for this growth are the widespread diffusion of mobile devices and the proliferation of datacenters, the most power-hungry IT facilities. In addition, it is predicted that the demand for ICT technologies and services will increase in the coming years. Finding solutions to decrease ICT energy footprint is and will be a top priority for researchers and professionals in the field. As a matter of fact, hardware technology has substantially improved throughout the years: modern ICT devices are definitely more energy efficient than their predecessors, in terms of performance per watt. However, as recent studies show, these improvements are not effectively reducing the growth rate of ICT energy consumption. This suggests that these devices are not used in an energy-efficient way. Hence, we have to look at software. Modern software applications are not designed and implemented with energy efficiency in mind. As hardware became more and more powerful (and cheaper), software developers were not concerned anymore with optimizing resource usage. Rather, they focused on providing additional features, adding layers of abstraction and complexity to their products. This ultimately resulted in bloated, slow software applications that waste hardware resources -- and consequently, energy. In this dissertation, the relationship between software behavior and hardware energy consumption is explored in detail. For this purpose, the abstraction levels of software are traversed upwards, from source code to architectural components. Empirical research methods and evidence-based software engineering approaches serve as a basis. First of all, this dissertation shows the relevance of software over energy consumption. Secondly, it gives examples of best practices and tactics that can be adopted to improve software energy efficiency, or design energy-efficient software from scratch. Finally, this knowledge is synthesized in a conceptual framework that gives the reader an overview of possible strategies for software energy efficiency, along with examples and suggestions for future research.",http://dx.doi.org/10.6092/polito/porto/2609157,Procaccianti G,Miscellaneous,,,2015,,,,Politecnico di Torino,,,,,,,2015,,,,,,,,,,
Estimating the energy consumption in pervasive java-based systems,10.1109/percom.2008.85,"We define and evaluate a framework for estimating the energy consumption of pervasive Java-based software systems. The framework's primary objective is to enable an engineer to make informed decisions when adapting a system's architecture, such that the energy consumption on hardware devices with a finite battery life is reduced, and the lifetime of the system's key software services increases. Our framework explicitly takes a component-based perspective, which renders it well suited for a large class of today's distributed, embedded, and pervasive applications. The framework provides a novel approach that facilitates the accurate estimation of a system's energy consumption both during system construction-time and during runtime. In a large number of distributed application scenarios, the framework showed very good precision on the whole, giving results that were within 5% of the actually measured power losses incurred by executing the software.",http://dx.doi.org/10.1109/percom.2008.85,"Seo C,Malek S,Medvidovic N",Conference Paper,,,2008,,,,IEEE,,,2008 Sixth Annual IEEE International Conference on Pervasive Computing and Communications (PerCom),2008 IEEE International Conference on Pervasive Computing and Communications (PerCom),"Hong Kong, China",2008/3/17-2008/3/21,2008-03,,9.78077E+12,,,,,,,,
Evaluating the impact of caching on the energy consumption and performance of progressive web apps,10.1145/3387905.3388593,"Context. Since today mobile devices have limited battery life, the energy consumption of the software running on them can play a strong role with respect to the success of mobile-based businesses. Progressive Web Applications (PWAs) are built using common web technologies like HTML, CSS, and JavaScript and are commonly used for providing a better user experience to mobile users. Caching is the main technique used by PWA developers for optimizing network usage and for providing a meaningful experience even when the user's device is offline. Goal. This paper aims at assessing the impact of caching on both the energy consumption and performance of PWAs. Method. We conducted an empirical experiment targeting 9 real PWAs developed by third-party developers. The experiment is designed as a 1 factor - 2 treatments study, with the usage of caching as the single factor and the status of the cache as treatments (empty vs populated cache). The response variables of the experiment are (i) the energy consumption of the mobile device and (ii) the page load time of the PWAs. The experiment is executed on a real Android device running the Mozilla Firefox browser. Results. Our results show that PWAs do not consume significantly different amounts of energy when loaded either with an empty or populated cache. However, the page load time of PWAs is significantly lower when the cache is already populated, with a medium effect size. Conclusions. This study confirms that PWAs are promising in terms of energy consumption and provides evidence that caching can be safely exploited by PWA developers concerned with energy consumption. The study provides also empirical evidence that caching is an effective technique for improving the user experience in terms of page loading time of PWAs.",http://dx.doi.org/10.1145/3387905.3388593,"Malavolta I,Chinnappan K,Jasmontas L,Gupta S,Soltany KA",Conference Paper,,,2020,,,,ACM,"New York, NY, USA",,Proceedings of the IEEE/ACM 7th International Conference on Mobile Software Engineering and Systems,MOBILESoft '20: IEEE/ACM 7th International Conference on Mobile Software Engineering and Systems,Seoul Republic of Korea,,7/13/20,,9.78145E+12,,,,,,"Vrije Universiteit Amsterdam, The Netherlands",,
Exploring the energy consumption of data sorting algorithms in embedded and mobile environments,10.1109/mdm.2009.103,"Most mobile and embedded devices are battery powered. Hence, their uptime depends on the energy consumption of the used components. Developers made severe effort to optimize hardware components in order to reduce their energy consumption. However, in this paper we show that one also has to consider energy awareness in terms of software. In this study we focus on sorting algorithms, which are not only used directly by the user of a device but also very often implicitly by other algorithms. Our experiments show,that different sorting algorithms consume different amounts of energy. In detail, the experiments show that there is no direct correlation between the time complexity of an algorithm and its energy consumption.",http://dx.doi.org/10.1109/mdm.2009.103,"Bunse C,Höpfner H,Mansour E,Roychoudhury S",Conference Paper,,,2009,,,,IEEE,,,"2009 Tenth International Conference on Mobile Data Management: Systems, Services and Middleware","2009 Tenth International Conference on Mobile Data Management: Systems, Services and Middleware","Taipei, Taiwan",2009/5/18-2009/5/20,2009,,9.78142E+12,,,,,,,,
Extending software architecture views with an energy consumption perspective,10.1007/s00607-016-0502-0,"The rising energy consumption of the ICT industry has triggered a quest for more sustainable, i.e. energy efficient, ICT solutions. Software plays an essential role in finding these solutions, as software is identified as the true consumer of power. However, in this context, software is often treated as a single, complex entity instead of the interrelated elements that it actually consists of. Although useful results can be gained, this approach fails to provide detailed insight in the elements that invoke specific energy consumption behavior. As a result, software vendors are not able to address energy consumption on software level. In this paper, we propose an energy consumption perspective on software architecture as a means to provide this insight and enable analysis on the architectural elements that are the actual drivers behind the energy consumption. In support of this perspective, we also position sustainability as a potential quality attribute thereby provide a means to quantify energy consumption aspects related to software. In a case study using a commercial software product the perspective and quality attribute are applied, demonstrating the potential by achieving an energy consumption saving of 67.1 %.",http://dx.doi.org/10.1007/s00607-016-0502-0,"Jagroep E,van der Werf JM,Brinkkemper S,Blom L,van Vliet R",Journal Article,Computing,Computing,2017,99,6,553-573,Springer Science and Business Media LLC,,,,,,,2017-06,,,,0010-485X,1436-5057,,,,en,
Green architectural tactics for the cloud,10.1109/wicsa.2014.30,"Energy efficiency is a primary concern for the ICT sector. In particular, the widespread adoption of cloud computing technologies has drawn attention to the massive energy consumption of data centers. Although hardware constantly improves with respect to energy efficiency, this should also be a main concern for software. In previous work we analyzed the literature and elicited a set of techniques for addressing energy efficiency in cloud-based software architectures. In this work we codified these techniques in the form of Green Architectural Tactics. These tactics will help architects extend their design reasoning towards energy efficiency and to apply reusable solutions for greener software.",http://dx.doi.org/10.1109/wicsa.2014.30,"Procaccianti G,Lago P,Lewis GA",Conference Paper,,,2014,,,,IEEE,,,2014 IEEE/IFIP Conference on Software Architecture,2014 IEEE/IFIP Conference on Software Architecture (WICSA),"Sydney, Australia",2014/4/7-2014/4/11,2014-04,,9.78148E+12,,,,,,,,
Green: a framework for supporting energy-conscious programming using controlled approximation,10.1145/1809028.1806620,"Energy-efficient computing is important in several systems ranging from embedded devices to large scale data centers. Several application domains offer the opportunity to tradeoff quality of service/solution (QoS) for improvements in performance and reduction in energy consumption. Programmers sometimes take advantage of such opportunities, albeit in an ad-hoc manner and often without providing any QoS guarantees. We propose a system called Green that provides a simple and flexible framework that allows programmers to take advantage of such approximation opportunities in a systematic manner while providing statistical QoS guarantees. Green enables programmers to approximate expensive functions and loops and operates in two phases. In the calibration phase, it builds a model of the QoS loss produced by the approximation. This model is used in the operational phase to make approximation decisions based on the QoS constraints specified by the programmer. The operational phase also includes an adaptation function that occasionally monitors the runtime behavior and changes the approximation decisions and QoS model to provide strong statistical QoS guarantees. To evaluate the effectiveness of Green, we implemented our system and language extensions using the Phoenix compiler framework. Our experiments using benchmarks from domains such as graphics, machine learning, signal processing, and finance, and an in-production, real-world web search engine, indicate that Green can produce significant improvements in performance and energy consumption with small and controlled QoS degradation.",http://dx.doi.org/10.1145/1809028.1806620,"Baek W,Chilimbi TM",Journal Article,SIGPLAN Not.,SIGPLAN Notices,2010,45,6,198-209,Association for Computing Machinery (ACM),,,,,,,6/12/10,,,,1558-1160,,,,"Stanford University, Stanford, CA, USA; Microsoft Research, Redmond, WA, USA",en,
