Title,Authors,Year,Abstract,DOI,Type,Venue,Domain,Research_Keywords,Research_Approach,Context,Contribution
Energy Cost of IoT Design Patterns," Paradinas, Pierre C.;  J. -M. Douin;  Tetu, Raphael;  R. Tetu;  P. Paradinas;  Douin, Jean Michel; Crestani, Antoine; A. Crestani",2021,"Design patterns are a set of general and reusable software components built to deal with common integration problems. They provide functionalities and allow the experienced designer/developer to write efficient code programs faster. With the rise of the Internet of Things (IoT), there has been an increase in design patterns aimed at IoT problems that are proposed. Although efforts have been made to document the patterns, they are not as widely used as they could be. Moreover, the issue of energy consumption is less addressed, despite being a major concern for any IoT device. This paper aims at identifying IoT Patterns as recently proposed in the scientific literature, as well as providing an incentive for their use by showing the difference in terms of energy consumption that can be achieved by choosing the right design pattern. We used Mozilla's WebThing software to set up our platform. Our experiments show that some patterns are way more energy efficient than others, which can have a great impact. ",10.1109/FiCloud49777.2021.00062,IEEE Conferences,2021 8th International Conference on Future Internet of Things and Cloud (FiCloud),Design Patterns,IoT Design Patterns; Energy Consumption; Software-Architecture; Design Pattern Comparison; Internet-of-Things,Validation Research,IoT systems implemented using different design patterns and evaluated through experimental energy measurements giving empirical evidence on the energy consumption of IoT design patterns to support energy-aware design decisions,Empirical evidence
Energy Efficiency Optimization of Application Software," Visser, Joost; Grosskop, Kay",2013,"The application software design has a major impact on the energy efficiency of a computing system. But research on the subject is still in its infancy. What is the energy efficiency of software? How can it be measured? What are guidelines for the development of energy efficient software? In this paper, we set out to find an answer to these questions and motivate the need for a dedicated research area for application software energy efficiency. We place this subject in the context of other initiatives for green and sustainable computing and clarify central concepts. Furthermore we give an overview of different existing approaches for both measuring and optimization of software energy efficiency. © 2013 Elsevier Inc. ",10.1016/B978-0-12-407725-6.00005-8,Book chapter,Advances in Computers,Software Engineering,Software Energy Efficiency; Energy Measurement; Energy Optimization; Energy Efficiency,Philosophical Paper,"Application of software considered at a general, cross-domain level without a specific system or experimental setup. Clarification of software energy efficiency, motivation of the research field, and structured overview of existing measurement and optimization approaches",Conceptual Framework
Energy awareness needs arethinking in software development," Bunse, Christian; Höpfner, Hagen",2011,"Energy efficiency and -awareness are buzzwords in various areas of information and communication technology and are at the core backbone of GreenIT. Computing centers aim for reducing energy consumption in order to save money and carbon dioxide emissions. Furthermore, GreenIT labels are perfect selling points for computer equipment. Especially battey-powered and mobile devices must consider software's energy consumption in order to prolong their uptime, while keeping the desired or agreed quality of service (QoS). Even if energy awareness regarding hardware has been researched intensively for a couple of years, the analysis of the impact of software on energy consumption is rather novel. We claim that the development of energy-efficient and -aware software systems require a careful re-examination of the many paradigms in software development. ",,Conference paper,,Software Engineering,Energy Awareness; Energy-Efficient Software; Green IT; Software Development Paradigms; Energy Efficiency,Philosophical Paper,"General software development across domains, with emphasis on mobile and energy-constrained systems. Conceptual argument for rethinking software development paradigms to incorporate energy awareness and efficiency",Conceptual Framework
Energy efficiency of the Visitor Pattern: contrasting Java and C++ implementations,"Connolly Bree, Deaglan;  O Cinneide, Mel",2023,"Design patterns are applied frequently during software evolution in order to make the software more flexible and amenable to extension. One little-studied aspect of design patterns is their propensity to increase run-time energy consumption due to the indirection and additional structure they introduce. In this paper we study the impact of the Visitor pattern on energy efficiency. The Visitor pattern separates an algorithm from the objects it acts upon and improves maintainability by placing each algorithm within a single visitor class. This is at the cost of increased indirection due to the double dispatch required when the algorithm is invoked. We experimentally investigate the energy impact of varying the implementation of this pattern, and of removing the pattern entirely from software written in Java and C++. In our results we observe energy consumption reductions greater than 7% in a Java-based textbook example when the pattern is implemented using reflective dispatch, and reductions of over 10% when experimenting with an open source Java project, JavaParser. The complete removal of the pattern yields more complex results, with little impact in the textbook example but reductions of over 7% in the JavaParser study. To explore the generalisability of our findings, we subsequently apply the same transformations to the C++ based CppParser. Total pattern removal here sees energy consumption reductions of over 66% while the reflective dispatch approach increases energy consumption by up to 2012%. Our results highlight the energy savings that can be achieved when the Visitor pattern is removed both in Java and C++ implementations, and also show that some language specific features can allow for further energy savings when the implementation of the pattern is varied. ",10.1007/s10664-023-10387-8,Article,Empirical Software Engineering,Design Patterns,Visitor Pattern; Design Patterns; Energy Consumption; Java; C++,Validation Research,Software systems implemented in Java and C++ evaluated through controlled experiments on pattern variants and real-world projects resulting in empirical evidence on how different implementations and removal of the Visitor design pattern affect software energy consumption across programming languages,Empirical evidence
Energy efficient operating systems and software," Chandrakasan, Anantha; Sinha, Amit",2001,"Energy efficient system design is becoming increasingly important with the proliferation of portable, battery-operated appliances such as laptops, Personal Digital Assistants (PDAs) and cellular phones. Numerous dedicated hardware approaches for energy minimization have been proposed while software energy efficiency has been relatively unexplored. Since it is the software that drives the hardware, decisions taken during software design can have a significant impact on system energy consumption. This thesis explores avenues for improving system energy efficiency from application level to the operating system level. The embedded operating system can have a significant impact on system energy by performing dynamic power management both in the active and passive states of the device. Software controlled active power management techniques using dynamic voltage and frequency scaling have been explored. Efficient workload prediction strategies have been developed that enable just-in-time computation. An algorithm for efficient real-time operating system task scheduling has also been developed that minimizes energy consumption. Portable systems spend a lot of time in steep mode. Idle power management strategies have been developed that consider the effect of leakage and duty-cycle on system lifetime. A hierarchical shutdown approach for systems characterized multiple sleep states has been proposed. Although the proposed techniques are quite general, their applicability and utility have been demonstrated using the MIT μAMPS wireless sensor node an example system wherever possible. To quantify software energy consumption, an estimation framework has been developed based on experiments on the StrongARM and Hitachi processors. The software energy profiling tool is available on-line. Finally, in energy constrained systems, we would like to have the ability to trade-off quality of service for extended battery life. A scalable approach to application development has been demonstrated that allows energy quality trade-offs. (Copies available exclusively from MIT Libraries, Rm. 14-0551, Cambridge, MA 02139-4307. Ph. 617-253-5668; Fax 617-253-1690.)",,phdthesis,,Operating Systems,Energy Efficciency in Operating Systems;  Dynamic Power Management; Dynamic Voltage and Frequency Scaling; Task Scheduling; Energy Profiling; Energy Consumption,Validation Research,"Embedded and portable systems evaluated across application, operating system, and hardware layers using experimental platforms resulting in a collection of software-level techniques, models, and tools for improving and estimating energy efficiency from applications to operating systems",Conceptual Framework
Energy-Aware Pattern Framework: The Energy-Efficiency Challenge for Embedded Systems from a Software Design Perspective," Uelschen, Michael; Schaarschmidt, Marco;  Westerkamp, Clemens;  Pulvermueller, Elke",2021,"Driven by the success of Internet of Things, the number of embedded systems is constantly increasing. Reducing power consumption and improving energy efficiency are among the key challenges for battery-powered embedded systems. Additionally, threats like climate change clearly illustrate the need for systems with low resource usages. Due to the impact of software applications on the system’s power consumption, it is important to optimize the software design even in early development phases. The important role of the software layer is often overlooked because energy consumption is commonly associated with the hardware layer. As a result, existing research mainly focuses on energy optimization at the hardware level, while only limited research has been published on energy optimization at the software design level. This work presents a novel approach to propose an energy-aware software design pattern framework description, which takes power consumption and time behavior into account. We evaluate the expressiveness of the framework by defining design patterns, which use elaborated power-saving strategies for various hardware components to reduce the overall energy consumption of an embedded system. Furthermore, we introduce a dimensionless numerical efficiency factor to make energy savings quantifiable and a comparison for design patterns applied in various use cases possible. ",10.1007/978-3-030-70006-5_8,Conference paper,Communications in Computer and Information Science,Embedded Software Engineering,Energy-Aware Design Patterns; Embedded Systems; Software Design Framework; Energy Consumption,Validation Research,Embedded systems analyzed at software design time using pattern definitons and illustrative use cases resulting in an energy-aware software design pattern framework with a quantitative efficiency factor to compare energy savings across embedded system use cases,Conceptual Framework
Energy-driven statistical sampling: Detecting software hotspots," Ranganathan, Partha; Chang, Fay;  Farkas, Keith I.",2003,"Energy is a critical resource in many computing systems, motivating the need for energy-efficient software design. This work proposes a new approach, energy-driven statistical sampling, to help software developers reason about the energy impact of software design decisions. We describe a prototype implementation of this approach built on the Itsy pocket computing platform. Our experimental results of 14 benchmark programs show that when multiple power states are exercised, energy-driven statistical sampling provides greater accuracy than existing timedriven statistical sampling approaches. Furthermore, if instruction-level energy attribution is desired, energy-driven statistical sampling may provide better resolution. On simple handheld systems, however, many applications may exercise only a single power state other than idle mode. In this case, time profiling may sufficiently approximate energy profiling for the purpose of assisting programmers, without requiring any hardware support. ",10.1007/3-540-36612-1_8,Conference paper,Lecture Notes in Computer Science,Software Engineering,Energy Profiling; Statistical Sampling; Software Energy Hotspots; Energy Attribution; Embedded Systems; Software Performance Analysis; Energy-Aware Software Engineering,Validation Research,Embedded/handheld systems analyzed using benchmark programs on a prototype energy-profiling platform resulting in an energy-driven statistical sampling approach for identifiying and attributing software energy hotspots with improved accuracy over time-driven profiling,Conceptual Framework
"Estimating the energy consumption of software components from size, complexity and code smells metrics","Guamán, Daniel;  Valdiviezo-Diaz, Priscila;  Pérez, Jennifer;  Cañas, Norberto",2022,"Software quality may influence energy consumption. This work presents the CCsEM green model based on Size, Complexity and Code Smells to estimate energy consumption of architecture software components without being executed. This paper details the definition of this multiple linear regression model constructed from 42 applications, and its results. ",10.1145/3477314.3507353,Conference paper,,Software Architecture,Energy Consumption; Estimation; Software Metrics; Code Smells; Regression Model; Energy-Efficiency; Software-Design,Validation Research,"Architecture-level software components analyzed at design time using metric-based models derived from empirical data resulting in a regression-based model (CCsEM) for estimating the energy consumption of software components using size, complexity, and code smell metrics ",Model
Evaluating the Impact of Design Pattern Usage on Energy Consumption of Applications for Mobile Platform,"Qasim, Awais;  Khalid, Adnan;  Hassan, Jawad;  Munawar, Adeel",2021,"Energy efficiency in mobile computing is really an important issue these days. Owing to the popularity and prevalence of Android operating system among the people, a great number of Android smartphone applications have been developed and proliferated by the software developers. While developing these applications, developers have to keep energy consumption factor in mind, as the efficiency of an application is largely affected by it. Thus, designers and programmers endeavour to choose the best designing approaches to develop energy-efficient applications. It is imperative to assist the programmers in choosing appropriate techniques and strategies to manage power consumption. In the present research, we have investigated the effect of Android application design on its energy utilisation. For this purpose, we have practically implemented design patterns on two Android applications and evaluated their energy consumption before and after implementing these patterns. We have modelled the high-level design of these two Android applications by using software design patterns in such a way as to abate their energy requirement. We have also checked how the quality, maintainability, and efficiency of code are affected by these design patterns. The outcomes of the research can facilitate programmers to utilise these details while developing energy efficient solutions.",10.2478/acss-2021-0001,article,,Mobile Software Engineering,Design Patterns; Energy Consumption; Android Applications; Software Quality; Software Maintainability; Software Efficiency; Energy-Efficieny; Software Design,Validation Research,Android mobile applications empirically evaluated before and after applying design patterns and their affects on energy consumption and quality attributes,Empirical evidence
Evolution of Kotlin Apps in terms of Energy Consumption: An Exploratory Study," Knyajev, Dmitriy; Ahmed, Hesham;  Garifollina, Dinara;  Malavolta, Ivano;  Khan, Niaz Ali;  Scoccia, Gian Luca;  Boshchenko, Alina;  Martinez, Matias",2023,"Context. Java and Kotlin are the two main programming languages used to create Android applications. Kotlin almost completely replicates the capabilities offered by Java and offers extra features, making it a popular choice among developers. From a sustainability perspective, it is crucial to assess the energy usage of Kotlin-based Android applications. Goal. The goal of this study is to explore how the energy consumption of Kotlin applications evolves over time. The study also aims at identifying the key factors that influence energy consumption, to inform developers on how the changes they make affect the energy consumed by their applications. Method. To investigate how Kotlin apps' energy consumption changes through releases, we study three open-source apps Kotlin apps that are also present in the Google Play store. We conduct a measurement-based experiment during which we assess the energy consumed by several releases of each studied application, for a total of 171 executions. Afterwards, we statistically analyse the collected data to identify relevant energy fluctuations (i.e.,, spikes, drops). Finally, we manually inspect the source code changes in the apps to identify possible causes of the identified energy fluctuations. Results. All three studied applications exhibit a growing trend for energy consumption over the course of their releases. Moreover, abnormal energy spikes are found for all applications. There are different causes behind these variations, including OS upgrades, new features, poorly chosen design patterns and libraries, UI issues, and unstable app versions. Conclusions. Our study provides evidence that a number of not fully understood factors can affect the energy consumption of a mobile application. Further work is needed to study their impact. ",10.1109/ICT4S58814.2023.00014,Conference paper,,Mobile Software Engineering,Energy Consumption Evolution; Kotlin; Java; Android Applications; Software Evolution; Energy Efficiency; Software Design,Evaluation Research,"Open-source Android applications written in Kotlin, analyzed across multiple releases using measurement-based experiments resulting in empirical insights into how the energy consumption of Kotlin-based Android applications evolves over time and the factors influencing energy variations",Empirical evidence
Framework of software design patterns for energy-aware embedded systems," Uelschen, Michael; Schaarschmidt, Marco;  Westerkamp, Clemens;  Pulvermueller, Elke",2020,"With the increasing size and complexity of embedded systems, the impact of software on energy consumption is becoming more important. Previous research focused mainly on energy optimization at the hardware level. However, little research has been carried out regarding energy optimization at the software design level. This paper focuses on the software design level and addresses the gap between software and hardware design for embedded systems. This is achieved by proposing a framework for software design patterns, which takes aspects of power consumption and time behavior of the hardware level into account. We evaluate the expressiveness of the framework by applying it to well-known and novel design patterns. Furthermore, we introduce a dimensionless numerical efficiency factor to make possible energy savings quantifiable. ",,Conference paper,,Embedded Software Engineering,Energy-Aware Design Patterns; Embedded Systems; Software Design Framework; Design Patterns; Energy-Efficient Software Engineering,Validation Research,Embedded systems analyzed at software design time through pattern Modelling and illustrative applications resulting in a framework for energy-aware software design patterns with a quantitative efficiency factor to assess potential energy savings,Framework
From sensibility to responsibility: The impact of system software on ecological and economical sustainability of computing systems,"Hönig, Timo",2015,"From an ecological and economic perspective, saving energy is an important factor for the design of today's computing systems. However, building energy-efficient systems is a challenging task for system designers. It requires exact knowledge about the system's components (i.e., software and hardware components) and it is not immediately obvious how the energy demand of a system can be improved. This paper presents energy-aware programming techniques that help developers at optimizing the energy demand of software. Such techniques address sensibility aspects (i.e., energy awareness) and provide optimization suggestions to developers. The paper further discusses responsibility aspects that emerge from the advent of energy-aware programming techniques. ",,Conference paper,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",Software Engineering,Energy-Aware Programming; Energy Optimization; Developer Awareness; Programming Techniques; Energy Awareness,Philosophical Paper,General software focusing on the programming level and developer awareness. Argument for the importance of energy-aware programming techniques and the need for increased awareness among developers regarding the energy implications of their coding decisions,Conceptual Framework
Green in software engineering,"Calero, Coral;  Piattini, Mario Gerardo",2015,"This is the first book that presents a comprehensive overview of sustainability aspects in software engineering. Its format follows the structure of the SWEBOK and covers the key areas involved in the incorporation of green aspects in software engineering, encompassing topics from requirement elicitation to quality assurance and maintenance, while also considering professional practices and economic aspects. The book consists of thirteen chapters, which are structured in five parts. First the “Introduction” gives an overview of the primary general concepts related to Green IT, discussing what Green in Software Engineering is and how it differs from Green by Software Engineering. Next ""Environments, Processes and Construction"" presents green software development environments, green software engineering processes and green software construction in general. The third part, “Economic and Other Qualities,” details models for measuring how well software supports green software engineering techniques and for performing trade-off analyses between alternative green practices from an economic perspective. ""Software Development Process"" then details techniques for incorporating green aspects at various stages of software development, including requirements engineering, design, testing, and maintenance. In closing, “Practical Issues” addresses the repercussions of green software engineering on decision-making, stakeholder participation and innovation management. The audience for this book includes software engineering researchers in academia and industry seeking to understand the challenges and impact of green aspects in software engineering, as well as practitioners interested in learning about the state of the art in Green in Software Engineering. ",10.1007/978-3-319-08581-4,Book,,Software Engineering,Green Software Engineering; Sustainability; Energy Efficiency; Software Lifecycle; Sustainable Software Engineering,Philosophical Paper,"Software Engineering across the full development lifecycle, spanning academic and industrial perspectives giving a comprehensive conceptual overview and structuring of sustainability and green aspects in software engineering, aligned with SWEBOK knowledge areas",Conceptual Framework
"GreenC5: An adaptive, energy-aware collection for green software development"," Dewri, Rinku; Michanan, Junya;  Rutherford, Matthew J.",2017,"Dynamic data structures in software applications have been shown to have a large impact on system performance. In this paper, we explore energy saving opportunities of interface-based dynamic data structures. Our results suggest that savings opportunities exist in the C5 Collection between 16.95% and 97.50%. We propose a prototype and architecture for creating adaptive green data structures by applying machine learning tools to build a model for predicting energy efficient data structures based on the dynamic workload. Our neural network model can classify energy efficient data structures based on features such as the number of elements, frequency of operations, interface and set/bag semantics. The 10-fold cross validation result show 95.80% average accuracy of these predictions. Our n-gram model can accurately predict the most energy efficient data structure sequence in 19 simulated and real-world programs—on average, with more than 50% accuracy and up to 98% using a bigram predictor. Our GreenC5 prototype demonstrates how a green data structure can be implemented. With a simple decision making technique, the data structure can efficiently adapt for energy efficiency with low overhead. The actual medians of GreenC5′s potential energy savings from two test computers are 61.19% and 60.56% and range from 18% to 95%. ",10.1016/j.suscom.2016.11.004,Article,Sustainable Computing: Informatics and Systems,Software Engineering,Energy-Aware Data Structures; Adaptive Data Strutures; Machine Learning; Energy Consumption; Prediction; Data Structures; Energy Awareness,Validation Research,"Software applications using dynamic data structures evaluated through experiments and prototype implementations resulting in an adaptive, energy-aware collection framework (GreenC5) that uses machine learning to predict and dynamiclly select energy-efficient data structures",Conceptual Framework
How green are cloud patterns?," GuÃ©hÃ©neuc, Yann GaÃ«l Pierre; Abtahizadeh, S. Amirhossein;  Khomh, Foutse",2016,"Cloud Patterns are abstract solutions to recurrent design problems in the cloud. Previous work has shown that these patterns can improve the Quality of Service (QoS) of cloud applications but their impact on energy consumption is still unknown. Yet, energy consumption is the biggest challenge that cloud computing systems (the backbone of today's high-tech economy) face today. In fact, 10% of the world's electricity is now being consumed by servers, laptops, tablets and smartphones. Energy consumption has complex dependencies on the hardware platform, and the multiple software layers. The hardware, its firmware, the operating system, and the various software components used by a cloud application, all contribute to determining the energy footprint. Hence, even though increasing a data center efficiency will eventually improve energy efficiency, the internal design of cloud-based applications can be improved to lower energy consumption. In this paper, we conduct an empirical study on a RESTful multi-threaded application deployed in the cloud, to investigate the individual and the combined impact of three cloud patterns (e.g., Local Database proxy, Local Sharding Based Router and Priority Queue) on the energy consumption of cloud based applications. We measure the energy consumption using Power-API; an application programming interface (API) written in Java to monitor the energy consumed at the process-level. Results show that cloud patterns can effectively reduce the energy consumption of a cloud application, but not in all cases. In general, there appear to be a trade-off between an improved response time of the application and the energy consumption. Developers and software architects can make use of these results to guide their design decisions. ",10.1109/PCCC.2015.7410295,Conference paper,,Software Architecture,Cloud Patterns; Energy Consumption; RESTful Applications; Power Measurement; Large Scale Software Engineering; Cloud Software Architecture,Validation Research,Cloud-based applications deployed in a public cloud and evaluated through controlled experiments using energy monitoring APIs giving empirical evidence on the energy impact of cloud design patterns and analysis of trade-offs between energy consumption and performance,Empirical evidence
Inheritance versus Delegation: Which is more energy efficient?,"Connolly Bree, Deaglan;  Ó Cinnéide, Mel",2020,"Energy consumption of software is receiving more attention as concerns regarding climate change increase. One factor that significantly impacts how much energy is expended by a software application is the design of the software itself. Existing studies find few consistent results regarding the impact of common refactorings on energy consumption, nor do they define a concrete set of metrics that measure the energy efficiency of software. In this paper, we present the results of preliminary experiments that explore the Replace Inheritance with Delegation refactoring, and its inverse, to assess the impact these design-level refactorings have on energy consumption in the Java programming language. In the tested programs, inheritance proved to be more energy efficient than delegation, with a reduction in run time of 77% and a reduction in average power consumption of 4%. We subsequently propose a research plan to further explore this problem and observe a number of specific challenges in this area. The primary goals of this research are threefold: (i) to investigate how redundancy in an object-oriented design can contribute to unnecessary energy consumption, (ii) to determine how refactoring of the software can remove this redundancy, and (iii) to develop a general-purpose automated tool to perform this refactoring. ",10.1145/3387940.3392192,Conference paper,,Software Maintenance,Inheritance; Delegation; Refactoring; Energy Consumption; Object-Oriented Design; Idiom; Energy-Efficient Software Engineering; Software Design,Validation Research,Java software systems analyzed through preliminary refactoring experiments on inheritance and delegation refactorings with respect to energy consumption,Empirical evidence
"Interrelations between software quality metrics, performance and energy consumption in embedded applications"," Digkas, Georgios;  Chatzigeorgiou, Alexander N.;  Ampatzoglou, Apostolos;  Marantos, Charalampos;  Soudris, Dimitrios J.; Papadopoulos, Lazaros",2018,"Source code refactorings and transformations are extensively used by embedded system developers to improve the quality of applications, often supported by various open source and proprietary tools. They either aim at improving the design time quality, such as the maintainability and reusability of software artifacts, or the runtime quality such as performance and energy eiciency. However, an inherent trade-of between design- and run-time qualities is often present posing challenges to embedded software development. This work is a irst step towards the investigation of the impact of transformations for improving the performance and the energy eiciency on software quality metrics and the impact of refactorings for increasing the design time quality on the execution time, the memory and the energy consumption. Based on a set of embedded applications from widely used benchmark suites and typical transformations and refactorings, we identify interrelations and trade-ofs between the aforementioned metrics. ",10.1145/3207719.3207736,Conference paper,,Embedded Software Engineering,Software Quality Metrics; Refactoring; Performance; Energy Consumption; Trade-offs; Energy-Efficient Software Design,Validation Research,"Embeddes applications from benchmark suites analyzed through code transformations and refactorings giving empirical analysis of trade-offs and interrelations between software quality metrics, preformance, memory usage, and energy consumption in embedded applications",Empirical evidence
Introduction of design pattern(s) for power-management in embedded systems," Haid, Josef;  Preschern, Christopher;  Druml, Norbert; Menghin, Manuel;  Steger, Christian;  Weiss, Reinhold;  Bock, Holger",2015,"Resource management is important because of the rising diversity and the resource constraints, like energy, of embedded systems. Energy-constraints are especially challenging in mobile systems like smart phones. A solution to deal with these constraints are power-management techniques that are often only general design principles. Consequently, implementation is often done by experts only. One common approach is to optimize hardware and software until the energy-constraints are fulfilled. This leads to resulting solutions working only for one specific use case. So why shouldn't we mine and use design patterns for power-management in embedded systems from these individual solutions. In contribution, we extended the dynamics and consequence section of the pattern structure to be able to describe the impact to the power consumption. We used the extended structure and mined an example pattern called Energy Valve as a start for mining others. ",10.1145/2739011.2739012,Conference paper,Proceedings of the 18th European Conference on Pattern Languages of Program,Embedded Software Engineering,Power Management; Design Patterns; Embedded Systems; Energy Consumption; Energy-Efficient Software Design,Solution Proposal,Embedded systems considered at software design level for power-management concerns giving an extension of design pattern structures and introduction of an initial power-management design pattern for embedded systems,Conceptual Framework
Investigating the impact on execution time and energy consumption of developing with Spring,"Calero, Coral;  Moraga, Mª Ángeles;  Polo, Macario",2021,"Respect for the environment has become a feature of life that is essential to take into account in our present-day society. Nevertheless, although software consumes large amounts of energy, in the software development sector it seems that awareness of this issue is still lacking. As software engineers, we must contribute to bringing about a change of vision in the sector. A good way of doing so is by giving companies clear guidelines on how to act. In this paper we present an example of this, focused on Spring. Spring is a server-side Java development framework that reduces the time to market of new applications, helps developers to save a great deal of development time, and hence improves their productivity. Our objective is to discover whether all these advantages are also accompanied by good energy consumption behaviour. To that end, we have compared the execution time and the energy consumption required by three releases of the same application, developed with and without Spring. This paper presents all the details of the study carried out, and sets forth our conclusions on the suitability of using Spring in the development of software applications. ",10.1016/j.suscom.2021.100603,Article,Sustainable Computing: Informatics and Systems,Framework,Spring Framework; Energy Consumption; Execution Time; Java Applications; Energy-Efficient Software Engineering; Distributed Systems,Validation Research,Server-side Java applications evaluated across multiple releases developed with and without the Spring framework giving empirical comparison of execution time and energy consumption of applications developed using the Spring framework versus plain Java,Empirical evidence
"Is it Worth Migrating a Monolith to Microservices? An Experience Report on Performance, Availability and Energy Usage"," Lange, Benoit;  Castelltort, Arnaud;  Trubiani, Catia; Berry, Vincent;  Teriihoania, Joan;  Tibermacine, Chouki V.",2024,"The microservice architecture (MSA) emerged as an evolution of existing architectural styles with the promise of improving software quality by decomposing an app into modules that can be maintained, deployed, and scaled independently. However, the transition from a monolithic to a microservice architecture is fraught with difficulties, especially when it comes to assessing qualitative aspects, as controversial results can arise. In this paper, we present an experience report on the migration of a monolithic web application and use performance, availability and energy efficiency as quality attributes to shed light on such an architectural transition. Horizontal scaling, i.e., distributing the workload across several service instances, is applied and we study its impact.Our main findings are: i) when no app component is replicated, MSA outperforms the monolithic architecture; ii) the monolithic architecture shows performance and availability improvement when replicating the entire app; iii) the replicated MSA version reaches a ceiling when not replicating its routing part (i.e., the API gateway), showing worse response times compared to the replicated monolith; iv) when replicating the API gateway, the MSA version reaches optimal performance with fewer replicates than the monolith; v) when not replicating services, MSA consumes more CPU resources than the monolithic architecture; vi) when scaling up, the MSA version is more efficient than the replicated monolith in terms of memory usage, and it can better exploit CPU resources; vii) when not replicating services, MSA consumes more energy than the monolithic architecture, whereas when scaling up, the MSA version is more efficient than the replicated monolith; MSA version reaches a good balance between CPU and memory usage. ",10.1109/ICWS62655.2024.00112,Conference paper,"Proceedings of the IEEE International Conference on Web Services, ICWS",Software Architecture,Microservices; Monolithic Architecture; Energy Consumption; Performance; Availability; Software Architecture; Energy-Efficient Distributed Systems,Validation Research,"Migration of a real-world web application from monolithic to microservice architecture with horizontal scaling to gain empirical insights into performance, availability, resource usage, and energy trade-offs when migrating from monoliths to microservices",Empirical evidence
JSEVAsync: An Asynchronous Event-based Framework to Energy Saving on IoT Devices," Mattos, Júlio Carlos Balzano De; Oliveira, Fernando L.",2022,"Typically the Internet of Things devices are constrained in terms of processing, memory, and energy consumption. Energy consumption is a critical aspect of these devices, being heavily impacted by how programs are developed, and it becomes more evident in interpreted languages that naturally demand more resources. Commonly embedded software development uses Time-triggered (TT) and Event-triggered (ET) architectures to design embedded projects. However, the TT strategy can consume more energy due to the polling method; in contrast, the ET approach can be energy-efficient but cannot deal with multiple events. This paper introduces JSEVAsync, a framework to help developers to design applications using JavaScript language for IoT devices that combine the best parts of TT and ET architectures. This approach uses JavaScript's non-blocking concept as a development interface to structure the algorithms into asynchronous events. To validate it, we compare C- and JavaScript-based applications and analyze the results from the energy consumption perspective. We found that writing code through JSEVAsync can be up to 21% more energy efficient than the traditional method. Moreover, JavaScript can improve design-time aspects such as readability, maintainability, and code reuse. ",10.1109/SBESC56799.2022.9965063,Conference paper,"Brazilian Symposium on Computing System Engineering, SBESC",Software Engineering,Energy-Aware Framework; JavaScript; Event-Based; Architectures; Time-triggered Architetures; Embedded Systems; Internet-of-Things; Energy Efficiency,Validation Research,"Internet-of-Things devices evaluated through comparative experiments using C- and JavaScript-based implementations resulting in an asynchronous, event-based software framework (JSEVAsync) that improves energy efficiency and design-time qualities for Internet-of-Things applications",Framework
Litearch: an energy-centric software architecture for wireless sensor networks,"Cao, Qing",2008,"Wireless sensor networks promise an unprecedented potential for observing the physical world. Their battery life, however, is usually the bottleneck that limits application lifetime, a problem that is exacerbated by the disparity between the rapidly growing processing speed and the slowly improving battery capacity. We observed the importance of this problem in our first-hand experiences: during our involvement in two large-scale sensor network deployments, VigilNet, and EnviroMic, energy is the primary concern in the development and deployment of applications. Our experiences with these projects motivate us to consider the central role that energy plays in the design and implementation of software stacks for wireless sensor networks, including not only the design choices of protocols but also the overall system architecture. In this dissertation, we present an energy-centric software architecture, LiteArch, that addresses the following three problems. First, we address the problem of energy conservation, where we consider a stack of protocols that extends the lifetime of sensor networks through duty scheduling, and provide an analysis on the quantitative relationship between energy consumption and surveillance performance. Second, we address energy awareness, where we design energy-efficient communication protocols, whose performance usually dominates the overall energy efficiency of applications. Finally, we address energy isolation, where we implement an energy reserve abstraction that virtualizes energy sources, giving each application sharing the same platform an illusion of having its own guaranteed energy source. Because these three problems are closely related to the role played by energy, we call the overall LiteArch architecture  energy-centric.  The immediate implications of LiteArch is that it can improve the performance of the motivating projects, VigilNet and EnviroMic. In the long term, the impact of LiteArch will be manifested through our continuing development of LiteOS, an operating system on which we have implemented several representative protocols in LiteArch. Our solutions reflect the profound impact of energy on the design and implementation of the sensor network software stack, and shed light on the general principles that help design and implementation of future sensor network platforms.",,phdthesis,,Embedded Software Engineering,Energy-Centry Architecture; Wireless Sensor Networks; Energy Awareness; Energy Isolation; Wirless Sensor Network Architeture; Energy Efficiency ,Validation Research,"Large-scale wireless sensor network systems informed by real deployments and validated through architectrual design and protocol implementation resulting in an energy-centric software architecture (LiteArch) that integrates energy conseration, awareness, and isolation to improve the efficiency and lifetime of wireless sensor networks",Software Architecture
