Title,DOI,Abstract,Year,source,Domain,Research_Keywords,Research_Approach,Context,Contribution,Document_Score
An investigation into energy-saving programming practices for Android smartphone app development,10.1145/2593743.2593750,"Developing energy efficient mobile applications is an impor- tant goal for software developers as energy usage can di- rectly affect the usability of a mobile device. Unfortunately, developers lack guidance as to how to improve the energy efficiency of their implementation and which practices are most useful. In this paper we conducted a small-scale em- pirical evaluation of commonly suggested energy-saving and performance-enhancing coding practices. In the evaluation we evaluated the degree to which these practices were able to save energy as compared to their unoptimized code coun- terparts. Our results provide useful guidance for mobile app developers. In particular, we found that bundling network packets up to a certain size and using certain coding prac- tices for reading array length information, accessing class fields, and performing invocations all led to reduced energy consumption. However, other practices, such as limiting memory usage had a very minimal impact on energy us- age. These results serve to inform the developer community about specific coding practices that can help lower the over- all energy consumption and improve the usability of their applications.",2014,snowballing,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Programming; Performance; Empirical Research; Code Quality,Evaluation Research,The study experimentally evaluates the impact of Android coding best practices on performance and energy efficiency across different mobile devices.,Empirical evidence,14
Analysis and evaluation of the android best practices impact on the efficiency of mobile applications,10.1109/sbesc.2013.39,"This paper evaluates the impacts of two most promising Android best practices regarding performance and energy consumption. In the experiments, the practices are applied to the code of an Android application and the code efficiency on different mobile devices is analyzed. Experimental results indicate that the use of the most appropriate for syntax and the avoiding getters/setters improves the Android codes efficiency.",2013,snowballing,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Sustainability,Evaluation Research,"The study empirically analyzes how refactoring a God Class affects power consumption, highlighting trade-offs between maintainability and energy efficiency.",Empirical evidence,14
Characterizing energy-aware software projects: Are they different?,,"The improvement in battery technology for battery-driven devices is insignificant compared to their computing ability. In spite of the overwhelming advances in processing ability, adoption of sophisticated applications is hindered by the fear of shorter battery life. This is one of the several reasons software developers are becoming conscious of writing energy efficient code. Research has been conducted to model software energy consumption, to reduce energy drains, and to understand developers expertise on energy efficiency. In this paper, however, we investigate the nature of energy-aware software projects. We observed that projects concerned with energy issues are larger and more popular than the projects that do not address energy consumption. Energy related code changes are larger than others (e.g., bug fixes). In addition, our initial results suggest that energy efficiency is mostly addressed on certain platforms and applications.",2016,snowballing,Software Engineering,Energy Efficiency; Empirical Research; Software Evolution; Software Quality; Software Development Process,Evaluation Research,"The study empirically analyzes characteristics of energy-aware software projects, comparing their size, popularity, and code changes to non-energy-aware projects.",Empirical evidence,13
Data-oriented characterization of application-level energy optimization,10.1007/978-3-662-46675-9_21,"Empowering application programmers to make energy-aware decisions is a critical dimension of energy optimization for computer systems. In this paper, we study the energy impact of alternative data management choices by programmers, such as data access patterns, data precision choices, and data organization. Second, we attempt to build a bridge between application-level energy management and hardware-level energy management, by elucidating how various application-level data management features respond to Dynamic Voltage and Frequency Scaling (DVFS). Finally, we apply our findings to real-world applications, demonstrating their potential for guiding application-level energy optimization. The empirical study is particularly relevant in the Big Data era, where data-intensive applications are large energy consumers, and their energy efficiency is strongly correlated to how data are maintained and handled in programs.",2015,snowballing,Software Engineering,Energy Efficiency; Data Structures; Performance; Empirical Research; Resource Optimization,Evaluation Research,The study empirically analyzes how data management decisions in applications influence energy consumption and interact with hardware-level optimizations like DVFS.,Empirical evidence,13.5
"Definition, implementation and validation of energy code smells: an exploratory study on an embedded system",,"Optimizing software in terms of energy efficiency is one of the challenges that both research and industry will have to face in the next few years.We consider energy efficiency as a software product quality characteristic, to be improved through the refactoring of appropriate code pattern: the aim of this work is identifying those code patterns, hereby defined as Energy Code Smells, that might increase the impact of software over power consumption. For our purposes, we perform an experiment consisting in the execution of several code patterns on an embedded system. These code patterns are executed in two versions: the first one contains a code issue that could negatively impact power consumption, the other one is refactored removing the issue. We measure the power consumption of the embedded device during the execution of each code pattern. We also track the execution time to investigate whether Energy Code Smells are also Performance Smells. Our results show that some Energy Code Smells actually have an impact over power consumption in the magnitude order of micro Watts. Moreover, those Smells did not introduce a performance decrease.",2013,snowballing,Code Smells,Energy Efficiency; Code Quality; Embedded Systems; Empirical Research; Performance; Refactoring,Validation Research,"The study defines, implements, and experimentally validates energy-related code smells on an embedded system by comparing original and refactored code versions.",Empirical evidence,13
Do energy-oriented changes hinder maintainability?,10.1109/icsme.2019.00013,"Energy efficiency is a crucial quality requirement for mobile applications. However, improving energy efficiency is far from trivial as developers lack the knowledge and tools to aid in this activity. In this paper we study the impact of changes to improve energy efficiency on the maintainability of Android applications. Using a dataset containing 539 energy efficiency-oriented commits, we measure maintainability – as computed by the Software Improvement Group's web-based source code analysis service Better Code Hub (BCH) – before and after energy efficiency-related code changes. Results show that in general improving energy efficiency comes with a significant decrease in maintainability. This is particularly evident in code changes to accommodate the Power Save Mode and Wakelock Addition energy patterns. In addition, we perform manual analysis to assess how real examples of energy-oriented changes affect maintainability. Our results help mobile app developers to 1) avoid common maintainability issues when improving the energy efficiency of their apps; and 2) adopt development processes to build maintainable and energy-efficient code. We also support researchers by identifying challenges in mobile app development that still need to be addressed.",2019,snowballing,Software Maintenance,Energy Efficiency; Maintenance; Software Quality; Mobile Applications; Empirical Research,Evaluation Research,The study empirically analyzes how energy-oriented code changes affect the maintainability of Android applications using real-world commits.,Empirical evidence,13
Does maintainability relate to the energy consumption of software? A case study,10.1007/s11219-020-09536-9,"Energy consumption of software has been becoming increasingly significant, since it can vary according to how the software has been developed. In recent years, developers and researchers have been interested in analyzing, among other things, how energy consumption evolves when changes occur from one version to another in any given software. Thus far, the only studies available are theoretical papers that reinforce the idea that maintainability may have an influence on energy use, but this needs to be proven empirically, which is the goal of this article. This work presents an empirical study carried out to test whether there is a relationship between the energy consumption and the maintainability of several versions of Redmine. Maintainability has been assessed by means of different measures, such as the number of lines of code, or the complexity of the software, calculated using SonarCloud, and the energy consumption measurements have been captured using the EET device. The results obtained show that the number of lines of code affects both the energy consumption of the processor and the total consumption of the computer where the software is run. It is intended that the results from this work should serve as a basis for the undertaking of new empirical studies which will enable the relationship between the software maintainability and the energy efficiency of that software to be better understood.",2021,snowballing,Software Maintenance,Energy Efficiency; Maintenance; Software Quality; Metrics and Measurement; Empirical Research,Evaluation Research,The study empirically investigates the relationship between software maintainability metrics and energy consumption across multiple versions of a software system.,Empirical evidence,13
Early analysis of resource consumption patterns in mobile applications,10.1016/j.pmcj.2016.06.011,"Mobile device capabilities have increased tremendously in recent years, and the complexity of the applications executed in these devices has evolved accordingly. However, despite the efforts made by mobile manufactures, resource consumption, particularly battery and data traffic, are still limiting factors for mobile applications. The most important aspects determining the consumption of a mobile application is its software architecture and its behaviour. Hence, by comparing the resource consumption of different software architectures before an application is built, mobile developers can make decisions that are better informed. This work presents the consumption analysis of two applications, each of them built with two different architectures in order to identify under which situation each architecture is more efficient. In addition, by generalizing the analysis of the two applications, a conceptual framework is created with which to analyse the consumption pattern of applications in their early development phases. This conceptual framework will allow mobile developers to estimate the resource consumption of their applications under different conditions of software architecture and usage scenarios, providing them with information relevant for decision making.",2017,snowballing,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Software Quality; Empirical Research,Evaluation Research,"The study proposes and evaluates EARMO, an energy-aware refactoring approach that detects and corrects anti-patterns in mobile apps to improve energy efficiency.",Method,13
Empirical evaluation of the energy impact of refactoring code smells,10.29007/dz83,"Software energy efficiency has gained increasing attention of the research community. How to improve it, however, still lacks evidence. Specifically, the impact of code smell refactoring on energy efficiency has been scarcely investigated. In the pilot study here reported, we investigate the impact on performance and energy consumption of refactoring well-known code smells on Java software applications. In order to understand if software metrics can be used as indicators of the energy impact of refactoring, we also measured the variation caused by refactoring on a set of well-established software metrics. We conducted a controlled experiment using state-of-the-art power measurement equipment. Statistical hypothesis testing and effect size estimation were performed on the experimental results. Results show that in one out of three applications, refactoring each smell significantly impacted power- and energy consumption. Specifically, refactoring Feature Envy and Long Method smells led to a 49% energy efficiency improvement. No software metrics significantly correlated with execution time, power or energy consumption. In conclusion, refactoring code smells can significantly improve software energy efficiency. The magnitude of the impact may depend on application properties, e.g. size or age. Further research is needed to understand the relationship between software metrics and energy efficiency.",2018,snowballing,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Metrics and Measurement,Evaluation Research,The study experimentally evaluates the impact of refactoring code smells on energy consumption and performance in Java applications.,Empirical evidence,14
"Energy efficiency across programming languages: how do energy, time, and memory relate?",10.1145/3136014.3136031,"This paper presents a study of the runtime, memory usage and energy consumption of twenty seven well-known software languages. We monitor the performance of such languages using ten different programming problems, expressed in each of the languages. Our results show interesting findings, such as, slower/faster languages consuming less/more energy, and how memory usage influences energy consumption. Finally, we show how to use our results to provide software engineers support to decide which language to use when energy efficiency is a concern.",2017,snowballing,Software Engineering,Energy Efficiency; Programming Languages; Performance; Empirical Research; Metrics and Measurement,Evaluation Research,"The study empirically compares multiple programming languages to analyze the relationship between energy consumption, execution time, and memory usage.",Empirical evidence,13.5
Energy efficiency analysis of code refactoring techniques for green and sustainable software in portable devices,10.3390/electronics11030442,"Code refactoring is a time-consuming and effort-intensive process that is applied for making improvements to source codes. There exist several refactoring techniques to improve software quality. Some of them aim to reduce the energy consumption of the software. However, the combination of applied refactoring techniques is crucial to the success rate. In addition, to provide sustainable services on portable devices such as mobile phones and laptops, which rely on batteries, improving and optimizing the energy efficiency is important. This study focuses on examining the effect of code refactoring techniques on energy consumption. A total of 25 different source codes of applications programmed in the C# and Java languages are selected for the study, and combinations obtained from refactoring techniques are applied to these source codes. The combinations applied are analyzed using the maintainability index. Power consumption estimation tools are used to measure the energy consumption of the original and refactored codes. The results show that the combinations significantly improve the software‚Äôs energy efficiency. The results will provide a better understanding of the relationship between the energy efficiency of software and refactoring techniques. Moreover, they will help developers to improve their object-oriented code in terms of both energy efficiency and sustainability.",2022,snowballing,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Sustainability,Evaluation Research,The study empirically analyzes how different combinations of refactoring techniques affect energy consumption and maintainability in software applications.,Empirical evidence,14
Energy efficient coding practices for sustainable software development,10.4108/eai.17-11-2023.2342635,"Cloud computing has revolutionized the IT landscape, offering unparalleled scalability and flexibility to both businesses and end-users. But there's growing concern about how much electricity cloud data centers consume. The increasing need for cloud services has made it imperative to conduct research on maximizing energy efficiency in cloud computing. This research study compares two different applications to examine energy-efficient coding methods in cloud computing and provides an overview of current green data center architecture aspects. The goal of this effort is to pinpoint procedures that can drastically lower energy usage in cloud environments. The two main steps in the suggested methodology are as follows. Initially, the energy usage is evaluated for two distinct programs that are operating in a cloud environment. First, the energy consumption is assessed for two different applications running in a cloud environment: Application-A coded in JavaScript, which utilizes conventional coding practices, and Application-B coded in Java, which integrates advanced energy-efficient coding techniques. Both applications are subjected to a series of experiments to measure power consumption and performance metrics, to quantify the energy savings achieved by Application-B which employs energy efficient coding practices. Second, coding practices employed in each application are explored to identify key differences that contribute to their varying energy efficiency.",2024,snowballing,Software Engineering,Energy Efficiency; Cloud Computing; Programming; Performance; Empirical Research,Evaluation Research,The study empirically compares applications using conventional and energy-efficient coding practices in a cloud environment to assess their impact on energy consumption and performance.,Empirical evidence,14
Energy profiles of Java collections classes,10.1145/2884781.2884869,"We created detailed profiles of the energy consumed by common operations done on Java List, Map, and Set abstractions. The results show that the alternative data types for these abstractions differ significantly in terms of energy consumption depending on the operations. For example, an ArrayList consumes less energy than a LinkedList if items are inserted at the middle or at the end, but consumes more energy than a LinkedList if items are inserted at the start of the list. To explain the results, we explored the memory usage and the bytecode executed during an operation. Expensive computation tasks in the analyzed bytecode traces appeared to have an energy impact, but memory usage did not contribute. We evaluated our profiles by using them to selectively replace Collections types used in six applications and libraries. We found that choosing the wrong Collections type, as indicated by our profiles, can cost even 300% more energy than the most efficient choice. Our work shows that the usage context of a data structure and our measured energy profiles can be used to decide between alternative Collections implementations.",2016,snowballing,Software Engineering,Energy Efficiency; Data Structures; Programming; Performance; Empirical Research; Metrics and Measurement,Evaluation Research,The study empirically analyzes the energy consumption of different Java collection classes and demonstrates how selecting appropriate data structures impacts energy efficiency in applications.,Empirical evidence,14.5
Energy refactorings for android in the large and in the wild,10.1109/saner48275.2020.9054858,"Improving the energy efficiency of mobile applications is a timely goal, as it can contribute to increase a device's usage time, which most often is powered by batteries. Recent studies have provided empirical evidence that refactoring energy-greedy code patterns can in fact reduce the energy consumed by an application. These studies, however, tested the impact of refactoring patterns individually, often locally (e.g., by measuring method-level gains) and using a small set of applications. We studied the application-level impact of refactorings, comparing individual refactorings, among themselves and against the combinations on which they appear. We use scenarios that simulate realistic application usage on a large-scale repository of Android applications. To fully automate the detection and refactoring procedure, as well as the execution of test cases, we developed a publicly available tool called Chimera. Our findings include statistical evidence that i) individual refactorings produce consistent gains, but with different impacts, ii) combining as much refactorings as possible most often, but not always, increases energy savings when compared to individual refactorings, and iii) a few combinations are harmful to energy savings, as they can actually produce more losses than gains. We prepared a set of guidelines for developers to follow, aiding them on deciding how to refactor and consistently reduce energy.",2020,snowballing,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Software Quality; Empirical Research,Evaluation Research,The study empirically evaluates the impact of individual and combined energy-related refactorings on Android applications at scale and provides developer guidelines.,Empirical evidence,14
How do code refactorings affect energy usage?,10.1145/2652524.2652538,"Context: Code refactoring's benefits to understandability, maintainability and extensibility are well known enough that automated support for refactoring is now common in IDEs. However, the decision to apply such transformations is currently performed without regard to the impacts of the refactorings on energy consumption. This is primarily due to a lack of information and tools to provide such relevant information to developers. Unfortunately, concerns about energy efficiency are rapidly becoming a high priority concern in many environments, including embedded systems, laptops, mobile devices, and data centers. Goal: We aim to address the lack of information about the energy efficiency impacts of code refactorings. Method: We conducted an empirical study to investigate the energy impacts of 197 applications of 6 commonly-used refactorings. Results: We found that refactorings can not only impact energy usage but can also increase and decrease the amount of energy used by an application. In addition, we also show that metrics commonly believed to correlate with energy usage are unlikely to be able to fully predict the impact of applying a refactoring. Conclusion: The results from this and similar studies could be used to augment IDEs to help software developers build more energy efficient software.",2014,snowballing,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research; Metrics and Measurement,Evaluation Research,The study empirically investigates how six common code refactorings affect energy consumption across 197 applications.,Empirical evidence,14
How does code obfuscation impact energy usage?,10.1109/icsme.2014.35,"Software piracy is an important concern for application developers. Such concerns are especially relevant in mobile application development, where piracy rates can approach 90%. The most commonly used approach by mobile developers for preventing piracy is code obfuscation. However, the decision to apply such transformations is currently made without regard to the impacts of obfuscations on another area of increasing concern for mobile application developers: energy consumption. Because both software piracy and battery life are important concerns, mobile application developers must strike a balance between protecting their applications and preserving the battery lives of their users' devices. To help them make such choices, we conducted an empirical study of the effects of 18 code obfuscations on the amount of energy consumed by executing a total of 15 usage scenarios spread across 11 Android applications. The results of the study indicate that, while obfuscations can have a statistically significant impact on energy usage and are significantly more likely to increase energy usage than to decrease energy usage, the magnitudes of such impacts are unlikely to impact mobile application users.",2014,snowballing,Software Engineering,Energy Efficiency; Code Quality; Mobile Applications; Empirical Research; Security,Evaluation Research,The study empirically evaluates the impact of code obfuscation techniques on energy consumption in Android applications.,Empirical evidence,13
How does microservice granularity impact energy consumption and performance? A controlled experiment,10.1109/icsa65012.2025.00018,"Context: Microservice architectures are a widely used software deployment approach, with benefits regarding flexibility and scalability. However, their impact on energy consumption is poorly understood, and often overlooked in favor of performance and other quality attributes (QAs). One understudied concept in this area is microservice granularity, i.e., over how many services the system functionality is distributed.Objective: We therefore aim to analyze the relationship between microservice granularity and two critical QAs in microservice-based systems: energy consumption and performance.Method: We conducted a controlled experiment using two open-source microservice-based systems of different scales: the small Pet Clinic system and the large Train Ticket system. For each system, we created three levels of granularity by merging or splitting services (coarse, medium, and fine) and then exposed them to five levels of request frequency.Results: Our findings revealed that: i) granularity significantly affected both energy consumption and response time, e.g., in the large system, fine granularity consumed on average 461 J more energy (13%) and added 5.2 ms to response time (14%) compared to coarse granularity; ii) higher request loads significantly increased both energy consumption and response times, with moving from 40 to 400 requests / s resulting in 651 J higher energy consumption (23%) and 41.2 ms longer response times (98%); iii) there is a complex relationship between granularity, system scale, energy consumption, and performance that warrants careful consideration in microservice design. We derive generalizable takeaways from our results.Conclusion: Microservices practitioners should take our findings into account when making granularity-related decisions, especially for large-scale systems.",2025,snowballing,Software Architecture,Energy Efficiency; Architecture; Distributed Systems; Performance; Empirical Research,Evaluation Research,The study conducts a controlled experiment to analyze how microservice granularity affects energy consumption and performance in systems of different scales.,Empirical evidence,13.5
Investigating the effect of design patterns on energy consumption,10.1002/smr.1851,"AbstractGang of Four (GoF) patterns are well‚Äêknown best practices for the design of object‚Äêoriented systems. In this paper, we aim at empirically assessing their relationship to energy consumption, ie, a performance indicator that has recently attracted the attention of both researchers and practitioners. To achieve this goal, we investigate pattern‚Äêparticipating methods (ie, those that play a role within the pattern) and compare their energy consumption to the consumption of functionally equivalent alternative (nonpattern) solutions. We obtained the alternative solution by refactoring the pattern instances using well‚Äêknown transformations (eg, replace polymorphism with conditional statements). The comparison is performed on 169 methods of 2 GoF patterns (namely, State/Strategy and Template Method), retrieved from 2 well‚Äêknown open source projects. The results suggest that for the majority of cases the alternative design excels in terms of energy consumption. However, in some cases (eg, when the method is large in size or invokes many methods) the pattern solution presents similar or lower energy consumption. The outcome of our study can be useful to both researchers and practitioners, because we: (1) provide evidence on a possible negative effect of GoF patterns, and (2) can provide guidance on which cases the use of the pattern is not hurting energy consumption.",2017,snowballing,Design Patterns,Energy Efficiency; Design Patterns; Empirical Research; Performance; Refactoring,Evaluation Research,The study empirically compares energy consumption of design pattern implementations against refactored non-pattern alternatives across methods in open-source projects.,Empirical evidence,14
Investigating the energy impact of Android smells,10.1109/saner.2017.7884614,"Android code smells are bad implementation practices within Android applications (or apps) that may lead to poor software quality. These code smells are known to degrade the performance of apps and to have an impact on energy consumption. However, few studies have assessed the positive impact on energy consumption when correcting code smells. In this paper, we therefore propose a tooled and reproducible approach, called HOT-PEPPER, to automatically correct code smells and evaluate their impact on energy consumption. Currently, HOT-PEPPER is able to automatically correct three types of Android-specific code smells: Internal Getter/Setter, Member Ignoring Method, and HashMap Usage. HOT-PEPPER derives four versions of the apps by correcting each detected smell independently, and all of them at once. HOT-PEPPER is able to report on the energy consumption of each app version with a single user scenario test. Our empirical study on five open-source Android apps shows that correcting the three aforementioned Android code smells effectively and significantly reduces the energy consumption of apps. In particular, we observed a global reduction in energy consumption by 4,83% in one app when the three code smells are corrected. We also take advantage of the flexibility of HOT-PEPPER to investigate the impact of three picture smells (bad picture format, compression, and bitmap format) in sample apps. We observed that the usage of optimised JPG pictures with the Android default bitmap format is the most energy efficient combination in Android apps. We believe that developers can benefit from our approach and results to guide their refactoring, and thus improve the energy consumption of their mobile apps.",2017,snowballing,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Code Quality; Empirical Research,Evaluation Research,The study proposes and evaluates an automated approach (HOT-PEPPER) to detect and correct Android code smells and measure their impact on energy consumption.,Method,13
Investigation for Software Power Consumption of Code Refactoring Techniques,,"Code refactoring technique focuses on enhancing the maintainability of software to extend its lifetime. However, there are other efforts to improve software qualities like performance or reliability as well as maintainability by using code refactoring techniques. Recently, as low-power software has become one of the critical issues in mobile environments, developing energy-efficient software through code refactoring becomes an important one. This paper aims to investigate whether the existing refactoring techniques can support energy-efficient software generation or not. The refactored codes generated by the existing techniques can consume more power than original codes because they did not consider the power consumption in their refactoring processes. This paper analyzes the power consumption to investigate the energy efficiency of M. Fowler’s refactoring techniques. Our analysis result can provide useful information about energy-efficient refactoring techniques to software engineers, and support the development of software that has high maintainability and good energy efficiency",,snowballing,Code Smells,Energy Efficiency; Refactoring; Code Quality; Software Quality; Empirical Research,Evaluation Research,The study analyzes the power consumption of software before and after applying Fowler’s refactoring techniques to assess their impact on energy efficiency.,Empirical evidence,14
On the energy footprint of mobile testing frameworks,10.1109/tse.2019.2946163,"High energy consumption is a challenging issue that an ever increasing number of mobile applications face today. However, energy consumption is being tested in an ad hoc way, despite being an important non-functional requirement of an application. Such limitation becomes particularly disconcerting during software testing: on the one hand, developers do not really know how to measure energy; on the other hand, there is no knowledge as to what is the energy overhead imposed by the testing framework. In this paper, as we evaluate eight popular mobile UI automation frameworks, we have discovered that there are automation frameworks that increase energy consumption up to roughly 2200 percent. While limited in the interactions one can do, Espresso is the most energy efficient framework. However, depending on the needs of the tester, Appium, Monkeyrunner, or UIAutomator are good alternatives. In practice, results show that deciding which is the most suitable framework is vital. We provide a decision tree to help developers make an educated decision on which framework suits best their testing needs.",2021,snowballing,Mobile Software Engineering,Energy Efficiency; Mobile Applications; Frameworks and Tools; Software Quality; Empirical Research,Evaluation Research,The study empirically evaluates the energy consumption overhead of different mobile testing frameworks and provides guidance for selecting suitable ones.,Empirical evidence,13.5
"Program energy efficiency: The impact of language, compiler and implementation choices",10.1109/igcc.2014.7039169,"Today reducing the energy usage of computing systems becomes a paramount task, no matter they are lightweight mobile devices, complex cloud computing platforms or large-scale supercomputers. Many existing studies in green computing focus on making the hardware more energy efficient. This is understandable because software running on low-power hardware will automatically consume less energy. Little work has been done to explore how software developers can play a more proactive role in saving energy by writing greener code. In fact, very few programmers consider energy-efficiency when writing code and even fewer know how to evaluate and improve the energy-efficiency of their code. In this paper, we quantitatively study the impact of languages (C/C++/Java/Python), compiler optimization (GNU C/C++ compiler with O1, O2, and O3 flags) and implementation choices (e.g. using malloc instead of new to create dynamic arrays and using vector vs. array for Quicksort) on the energy-efficiency of three well-known programs: Fast Fourier Transform, Linked List Insertion/Deletion and Quicksort. Our experiments show that by carefully selecting an appropriate language, optimization flag and data structure, significant energy can be conserved for solving the same problem with identical input size.",2014,snowballing,Software Engineering,Energy Efficiency; Programming Languages; Compilers; Data Structures; Performance; Empirical Research,Evaluation Research,"The study empirically evaluates how programming language, compiler optimizations, and implementation choices influence energy consumption of common algorithms.",Empirical evidence,14
Ranking programming languages by energy efficiency,10.1016/j.scico.2021.102609,"This paper compares a large set of programming languages regarding their efficiency, including from an energetic point-of-view. Indeed, we seek to establish and analyze different rankings for programming languages based on their energy efficiency. The goal of being able to rank programming languages based on their energy efficiency is both recent, and certainly deserves further studies.
We have taken rigorous and strict solutions to 10 well defined programming problems, expressed in (up to) 27 programming languages, from the well known Computer Language Benchmark Game repository. This repository aims to compare programming languages based on a strict set of implementation rules and configurations for each benchmarking problem. We have also built a framework to automatically, and systematically, run, measure and compare the energy, time, and memory efficiency of such solutions. Ultimately, it is based on such comparisons that we propose a series of efficiency rankings, based on single and multiple criteria.
Our results show interesting findings, such as how slower/faster languages can consume less/more energy, and how memory usage influences energy consumption. We also present a simple way to use our results to provide software engineers and practitioners support in deciding which language to use when energy efficiency is a concern.
In addition, we further validate our results and rankings against implementations from a chrestomathy program repository, Rosetta Code., by reproducing our methodology and benchmarking system. This allows us to understand how the results and conclusions from our rigorously and well defined benchmarked programs compare to those based on more representative and real-world implementations. Indeed our results show that the rankings do not change apart from one programming language.",2021,snowballing,Software Engineering,Energy Efficiency; Programming Languages; Performance; Empirical Research; Metrics and Measurement; Frameworks and Tools,Evaluation Research,"The study empirically benchmarks and ranks multiple programming languages based on their energy consumption, execution time, and memory usage across standardized problems.",Empirical evidence,14
Tales from the code #1: The effective impact of code refactorings on software energy consumption,10.5220/0010517900002992,,2021,snowballing,Software Maintenance,Energy Efficiency; Refactoring; Software Evolution; Software Quality; Empirical Research,Evaluation Research,The study empirically analyzes the long-term impact of code refactorings on energy consumption across multiple evolving open-source software systems.,Empirical evidence,14
The influence of the Java collection framework on overall energy consumption,10.1145/2896967.2896968,"This paper presents a detailed study of the energy consumption of the different Java Collection Framework (JFC) implementations. For each method of an implementation in this framework, we present its energy consumption when handling different amounts of data. Knowing the greenest methods for each implementation, we present an energy optimization approach for Java programs: based on calls to JFC methods in the source code of a program, we select the greenest implementation. Finally, we present preliminary results of optimizing a set of Java programs where we obtained 6.2% energy savings.",2016,snowballing,Software Engineering,Energy Efficiency; Data Structures; Programming; Performance; Empirical Research,Evaluation Research,The study empirically analyzes the energy consumption of Java Collection Framework implementations and proposes an approach to select energy-efficient alternatives.,Method,13.5
Using bad smell-driven code refactorings in mobile applications to reduce battery usage,,"Mobile devices are the most popular kind of computational device in the world. These devices have more limited resources than personal computers, and more importantly, battery consumption is always an issue since mobile devices rely on their battery as energy supply. On the other hand, to date, many applications are developed using the object-oriented (OO) paradigm, which has some inherent features, such as object creation, that inherently consume energy in the context of mobile development. These features at the same time enable for maintainability, flexibility, among other software quality-related advantages. Moreover, known code refactorings driven by bad smells can be applied to mobile applications to produce good OO designs, at the expense of potentially consuming more energy. Then, this paper presents an analysis to evaluate the preliminary trade-off between OO design purity and battery consumption.",2015,snowballing,Code Smells,Energy Efficiency; Refactoring; Mobile Applications; Code Quality; Software Quality; Empirical Research,Validation Research,The study analyzes the trade-off between applying smell-driven refactorings for object-oriented design quality and their impact on energy consumption in mobile applications.,Empirical evidence,13
